"hhid","plotnum","plot_value","maize_price","maize_value","output_kg_old","output_kg_new","maize_share","crop_count","beans","cash_crop","soil","soilq","erosion","slope","irrig","fallow","fallow_years","org","orgQ1","inorg1","inorg_type1","inorgQ1","voucher1","inorg_price1","inorg2","inorg_type2","inorgQ2","voucher2","inorg_price2","pest","pestQ","pestU","short_rain","short_rain_crop","owned","price_type1","price_type2","quantity_type1","quantity_type2","nitrogen_kg","phosphorous_kg","potassium_kg","nitrogen_price","nitrogen_unit_price","fam_lab_days","hir_lab_days","area_est","area_gps","area_gps_imputed","sex","age","hh_size","own_sh","rent_sh","y3_hhid","year"
"1001003004045501","M3",7225,361.25,7225,20,20,100,1,FALSE,FALSE,"SANDY","AVERAGE","NO","FLAT TOP","NO",0,NA,"NO",NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO",NA,NA,"NO",NA,"OWNED",0,0,0,0,0,0,0,NA,NA,16,0,0.101171500980854,0.0809371992945671,0.0809371992945671,"male",71,6,10000,NA,NA,2010
"1001003305002801","M2",866789.26,361.25,72250,200,2399.4166366782,8.33535939289326,2,FALSE,FALSE,"SANDY","BAD","NO","FLAT BOTTOM","NO",0,NA,"NO",NA,"YES","UREA",50,"YES",18000,"YES","SA",50,"YES",19000,"NO",NA,NA,NA,NA,"OWNED",18000,19000,23,10.5,33.5,0,0,18313.4328358209,546.669636890176,108,15,0.809372007846832,NA,0.817789494991302,"male",37,4,6000,NA,NA,2010
"1001003305002801","M4",36125,361.25,36125,100,100,100,1,FALSE,FALSE,"LOAM","GOOD","NO","FLAT BOTTOM","NO",0,NA,"NO",NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO",NA,NA,NA,NA,"OWNED",0,0,0,0,0,0,0,NA,NA,86,16,0.404686003923416,NA,0.254952192306519,"male",37,4,6000,NA,NA,2010
"1001003305004201","M2",7225,361.25,7225,20,20,100,1,FALSE,FALSE,"SANDY","BAD","NO","SLIGHTLY SLOPED","NO",0,NA,"NO",NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO",NA,NA,NA,NA,"OWNED",0,0,0,0,0,0,0,NA,NA,8,0,0.0404685996472836,0.0404685996472836,0.0404685996472836,"male",46,2,3000,NA,NA,2010
"1001003305004401","M1",445062.021978021,361.25,57800,160,1232.00559717099,12.9869539852255,3,FALSE,FALSE,"LOAM","GOOD","NO","FLAT BOTTOM","NO",0,NA,"NO",NA,"YES","UREA",50,"NO",25000,"NO",NA,NA,NA,NA,"NO",NA,NA,"NO",NA,"OWNED",25000,0,23,0,23,0,0,25000,1086.95652173913,138,0,8.09372043609619,13.5974493026733,13.5974493026733,"male",38,5,20000,NA,NA,2010
"1001003305005401","M1",5418.75,361.25,5418.75,15,15,100,1,FALSE,FALSE,"LOAM","AVERAGE","NO","SLIGHTLY SLOPED","NO",0,NA,"NO",NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO",NA,NA,"NO",NA,"OWNED",0,0,0,0,0,0,0,NA,NA,6,0,0.101171500980854,0.00404685968533158,0.00404685968533158,"female",73,6,1500,NA,NA,2010
"1001003305005901","M3",135689.179487179,361.25,72250,200,375.610185431638,53.2466923840648,2,FALSE,FALSE,"LOAM","BAD","NO","FLAT TOP","NO",0,NA,"NO",NA,"YES","UREA",15,"NO",9000,"YES","CAN",15,"YES",4000,"NO",NA,NA,"NO",NA,"OWNED",9000,4000,6.9,3.9,10.8,0,0,7194.44444444444,666.152263374486,96,0,4.0468602180481,5.82747840881348,5.82747840881348,"male",69,5,80000,NA,NA,2010
"1001003306004201","M1",299279.575897435,361.25,72250,200,828.455573418507,24.1413065971333,3,FALSE,FALSE,"CLAY","AVERAGE","NO","FLAT BOTTOM","NO",0,NA,"NO",NA,"YES","UREA",50,"NO",14000,"NO",NA,NA,NA,NA,"NO",NA,NA,"NO",NA,"OWNED",14000,0,23,0,23,0,0,14000,608.695652173913,28,58,6.07029008865356,NA,9.67984676361084,"male",32,6,10000,NA,NA,2010
"1001003306004401","M1",349796.41025641,361.25,72250,200,968.294561263418,20.6548717715653,2,FALSE,FALSE,"SANDY","BAD","NO","FLAT BOTTOM","NO",0,NA,"NO",NA,"YES","UREA",50,"YES",16000,"YES","MRP",100,"YES",9000,"NO",NA,NA,"NO",NA,"OWNED",16000,9000,23,0,23,12.4696,0,16000,695.652173913043,92,10,3.23748803138733,3.80404829978943,3.80404829978943,"male",45,5,16000,NA,NA,2010
"1001003306008901","M1",13005,361.25,13005,36,36,100,1,FALSE,FALSE,"CLAY","GOOD","YES","FLAT BOTTOM","NO",0,NA,"YES",108,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO",NA,NA,"NO",NA,"OWNED",0,0,0,0,0,0,0,NA,NA,5,0,0.101171500980854,NA,0.205094873905182,"male",52,3,57500,NA,NA,2010
"1001003306010301","M1",NA,361.25,108375,300,NA,NA,2,FALSE,FALSE,"SANDY","AVERAGE","NO","FLAT BOTTOM","NO",0,NA,"NO",NA,"YES","UREA",50,"YES",9500,"NO",NA,NA,NA,NA,"NO",NA,NA,"NO",NA,"OWNED",9500,0,23,0,23,0,0,9500,413.04347826087,102,0,2.02343010902405,NA,1.89822018146515,"female",36,3,8000,NA,NA,2010
"1001003306011201","M3",560871.250851711,361.25,90312.5,250,1552.58477744418,16.1021802887661,4,FALSE,FALSE,"LOAM","BAD","NO","SLIGHTLY SLOPED","NO",0,NA,"NO",NA,"YES","UREA",50,"YES",9500,"NO",NA,NA,NA,NA,"NO",NA,NA,"NO",NA,"OWNED",9500,0,23,0,23,0,0,9500,413.04347826087,77,0,0.607029020786285,0.849840581417084,0.849840581417084,"female",67,4,48000,NA,NA,2010
"1001003306012401","M1",18003.57,361.25,3612.5,10,49.8368719723183,20.065464793927,2,FALSE,FALSE,"LOAM","AVERAGE","NO","FLAT BOTTOM","NO",0,NA,"NO",NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO",NA,NA,"NO",NA,"OWNED",0,0,0,0,0,0,0,NA,NA,9,0,0.101171500980854,0.0809371992945671,0.0809371992945671,"male",33,5,24000,NA,NA,2010
"1001003306012401","M2",NA,361.25,361250,1000,NA,NA,4,FALSE,FALSE,"LOAM","GOOD","NO","FLAT BOTTOM","NO",0,NA,"NO",NA,"YES","UREA",50,"YES",19500,"YES","DAP",50,"YES",9000,"NO",NA,NA,"NO",NA,"OWNED",19500,9000,23,9,32,10.028,0,16546.875,517.08984375,186,0,0.161874398589134,2.02343010902405,2.02343010902405,"male",33,5,24000,NA,NA,2010
"1001003325001301","M2",202104.531538461,361.25,39015,108,559.458910833111,19.304366756653,3,FALSE,FALSE,"LOAM","GOOD","NO","FLAT BOTTOM","NO",0,NA,"NO",NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO",NA,NA,"NO",NA,"OWNED",0,0,0,0,0,0,0,NA,NA,63,0,8.09372043609619,NA,9.63314533233643,"female",69,8,27000,NA,NA,2010
"1001003325001301","M3",128640.523076923,361.25,14450,40,356.098333776949,11.2328523348427,2,FALSE,FALSE,"SANDY","AVERAGE","NO","FLAT BOTTOM","NO",0,NA,"NO",NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO",NA,NA,"NO",NA,"OWNED",0,0,0,0,0,0,0,NA,NA,38,0,0.404686003923416,0.161874398589134,0.161874398589134,"female",69,8,27000,NA,NA,2010
