"y2_hhid","plotnum","area_est","area_gps","area_gps_imputed"
"0101014002017101","M2",0.202343001961708,0.0809371992945671,0.0809371992945671
"0101014002017101","M1",0.607029020786285,0.647497594356537,0.647497594356537
"0101014002028401","M1",0.607029020786285,0.485623210668564,0.485623210668564
"0101014002029701","M2",0.809372007846832,1.00766813755035,1.00766813755035
"0101014002029701","M1",0.809372007846832,0.853887438774109,0.853887438774109
"0101014002040901","M1",1.01171505451202,0.817465722560883,0.817465722560883
"0101014002040901","M2",0.809372007846832,NA,0.681410312652588
"0101014002047101","M1",0.809372007846832,0.768903374671936,0.768903374671936
"0101014002055101","M2",0.809372007846832,0.894356071949005,0.894356071949005
"0101014002055101","M1",0.809372007846832,0.809372007846832,0.809372007846832
"0101014002076101","M1",0.202343001961708,0.206389859318733,0.206389859318733
"0101014002076101","M3",1.21405804157257,1.2585734128952,1.2585734128952
"0101014002076101","M2",1.61874401569366,1.54185366630554,1.54185366630554
"0101014002076201","M2",0.202343001961708,0.0849840566515923,0.0849840566515923
"0101014002076201","M1",1.21405804157257,1.04813671112061,1.04813671112061
"0102003003000401","M3",0.404686003923416,0.129499509930611,0.129499509930611
"0102003003000401","M1",0.404686003923416,0.307561367750168,0.307561367750168
"0102003003000401","M2",0.404686003923416,0.526091754436493,0.526091754436493
"0102003003002201","M3",8.09372043609619,1.61874401569366,1.61874401569366
"0102003003002201","M1",1.21405804157257,0.975293278694153,0.975293278694153
"0102003003002201","M2",2.42811608314514,1.51757252216339,1.51757252216339
"0102003003014001","M1",0.607029020786285,0.299467653036118,0.299467653036118
"0102003003014001","M2",0.202343001961708,0.178061842918396,0.178061842918396
"0102003003016101","M2",1.01171505451202,0.489670068025589,0.489670068025589
"0102003003016101","M1",0.404686003923416,0.0930777788162231,0.0930777788162231
"0102003003017401","M4",0.404686003923416,0.133546382188797,0.133546382188797
"0102003003017401","M2",1.21405804157257,1.3718855381012,1.3718855381012
"0102003003017401","M5",1.21405804157257,NA,0.572225987911224
"0102003003017401","M1",1.41640102863312,1.31118261814117,1.31118261814117
"0102003003017401","M3",1.41640102863312,1.31118261814117,1.31118261814117
"0102003003020001","M2",0.809372007846832,0.946965217590332,0.946965217590332
"0102003003020001","M1",1.61874401569366,1.0966991186142,1.0966991186142
"0102003003043001","M7",0.404686003923416,0.279233336448669,0.279233336448669
"0102003003043001","M4",0.607029020786285,0.59488844871521,0.59488844871521
"0102003003043001","M2",1.61874401569366,3.06347298622131,3.06347298622131
"0102003003043001","M3",1.61874401569366,2.4847719669342,2.4847719669342
"0102003003043001","M5",0.202343001961708,0.716294229030609,0.716294229030609
"0102003003043001","M1",4.85623216629028,5.45921421051025,5.45921421051025
"0102003003043001","M6",0.101171500980854,0.428967148065567,0.428967148065567
"0102003003047901","M2",0.809372007846832,0.914590358734131,0.914590358734131
"0102003003047901","M1",0.809372007846832,0.833653151988983,0.833653151988983
"0102017003000101","M2",2.42811608314514,1.79275894165039,1.79275894165039
"0102017003000101","M5",1.61874401569366,1.76847779750824,1.76847779750824
"0102017003000101","M1",1.61874401569366,1.59041595458984,1.59041595458984
"0102017003000101","M3",1.61874401569366,1.70777487754822,1.70777487754822
"0102017003000101","M4",3.23748803138733,2.54142808914185,2.54142808914185
"0102017003000104","M1",3.23748803138733,3.13226962089539,3.13226962089539
"0102017003001701","M1",2.02343010902405,1.05218350887299,1.05218350887299
"0102017003002201","M1",0.809372007846832,1.37593245506287,1.37593245506287
"0102017003004801","M1",5.66560411453247,5.13951206207275,5.13951206207275
"0102017003004801","M3",2.42811608314514,2.22577309608459,2.22577309608459
"0102017003004801","M2",4.0468602180481,3.35889387130737,3.35889387130737
"0102017003010001","M1",3.23748803138733,2.99062943458557,2.99062943458557
"0102017003024101","M1",0.809372007846832,3.76357984542847,3.76357984542847
"0102017003024101","M2",4.0468602180481,NA,2.39282727241516
"0102017003024601","M2",0.809372007846832,0.89030921459198,0.89030921459198
"0102017003024601","M1",0.607029020786285,0.461342036724091,0.461342036724091
"0103013004016101","M1",1.21405804157257,NA,1.12089931964874
"0103013004016101","M2",0.809372007846832,NA,0.519616842269897
"0103013004016101","M3",0.809372007846832,NA,0.512899041175842
"0103013004016101","M4",0.607029020786285,NA,0.430343091487885
"0103013004021901","M4",0.809372007846832,NA,0.653810739517212
"0103013004021901","M1",1.61874401569366,1.45686960220337,1.45686960220337
"0103013004021901","M2",0.809372007846832,0.700106799602509,0.700106799602509
"0103013004021901","M3",2.02343010902405,NA,1.41016888618469
"0103013004025901","M1",0.202343001961708,0.121405802667141,0.121405802667141
"0103013004025901","M2",1.21405804157257,1.62279093265533,1.62279093265533
"0103013004034601","M2",0.809372007846832,0.781043946743011,0.781043946743011
"0103013004034601","M1",0.404686003923416,0.801278293132782,0.801278293132782
"0103013004046801","M2",1.01171505451202,0.295420795679092,0.295420795679092
"0103013004046801","M1",0.708200514316559,0.222577303647995,0.222577303647995
"0103013004046801","M3",2.02343010902405,NA,1.98757481575012
"0103013004068501","M1",1.61874401569366,1.73205614089966,1.73205614089966
"0103013004068501","M3",1.61874401569366,1.0966991186142,1.0966991186142
"0103013004068501","M2",0.404686003923416,0.914590358734131,0.914590358734131
"0103013004073901","M2",0.607029020786285,0.198296144604683,0.198296144604683
"0103013004073901","M3",0.809372007846832,NA,0.798364520072937
"0103013004073901","M4",0.809372007846832,NA,0.809129178524017
"0103013004073901","M1",0.202343001961708,0.0202342998236418,0.0202342998236418
"0103013004074501","M1",1.21405804157257,NA,0.782581806182861
