"item_name","region","vill_price_region","dis_price_region","vill_obs_region","dis_obs_region","region_price","tot_obs","vill_price_national","dis_price_national","national_price"
"Dagaa","ruvuma",3266.66666666667,3000.01005291005,2,5,3133.33835978836,7,3471.5298035298,3597.04486614209,3534.28733483595
"Eggs","ruvuma",259.090909090909,272.222222222222,3,5,265.656565656566,8,246.462774253925,258.391608391608,252.427191322767
"Fresh fish","ruvuma",4666.66666666667,5400,5,2,5033.33333333333,7,3474.82112743641,4034.49116579713,3754.65614661677
"Fresh milk","ruvuma",640,800,1,5,720,6,743.730158730159,836.842105263158,790.286131996658
"Goat meat","ruvuma",7435.85,NA,0,2,12029.1338711793,2,16807.4380165289,7250.82972582973,12029.1338711793
"Groundnuts","ruvuma",2277.912,2136.195,5,2,2207.0535,7,1927.83505154639,2037.76462966139,1982.79984060389
"Irish potatoes","ruvuma",909.562060606061,920.57,7,4,915.06603030303,11,873.139417195124,740.617974122894,806.878695659009
"Kerosene","ruvuma",2017.56265306122,1500,1,9,1758.78132653061,10,1857.12066182405,1633.51428571429,1745.31747376917
"Local brews","ruvuma",386.363636363636,300,0,8,343.181818181818,8,486.002426448286,478.070175438596,482.036300943441
"Maize (flour)","ruvuma",771.642222222222,750,4,5,760.821111111111,9,797.993277848912,902.897102897103,850.445190373007
"Maize (grain)","ruvuma",262.5,460,5,2,361.25,7,507.658465608466,480.53548085901,494.096973233738
"Maize (green, cob)","ruvuma",666.666666666667,NA,0,1,820.931044572815,1,999.391464532149,642.470624613482,820.931044572815
"Maize grinding costs","ruvuma",61.4285714285714,55,0,10,58.2142857142857,10,198.780193236715,53.944936086529,126.362564661622
"Mangoes","ruvuma",NA,1585.97948717948,1,0,941.184196165687,1,1129.45866691209,752.909725419285,941.184196165687
"Millet (flour)","ruvuma",NA,1250,2,0,1523.32949308756,2,1548.80952380952,1497.84946236559,1523.32949308756
"Millet (grain)","ruvuma",1081.59333333333,1132.28933333333,4,2,1106.94133333333,6,1073.16513761468,1034.26160560307,1053.71337160887
"Onions","ruvuma",1560.51587301587,1689.04867724868,3,6,1624.78227513228,9,1565.73907268406,1539.19023569024,1552.46465418715
"Papaya","ruvuma",666.666666666667,481.060606060606,2,1,654.507669773874,3,746.510086806016,562.505252741732,654.507669773874
"Peas","ruvuma",1372.39,1505.824,4,1,1439.107,5,1082.38341968912,1117.96636085627,1100.17489027269
"Rice (husked)","ruvuma",1265.38461538462,1329.62962962963,4,8,1297.50712250712,12,1208.06349206349,1176.11111111111,1192.0873015873
"Ripe bananas","ruvuma",500,553.869047619048,8,2,526.934523809524,10,982.517161656745,865.614549832844,924.065855744794
"Salt","ruvuma",529.398148148148,483.333333333333,1,8,506.365740740741,9,648.594075677409,606.414092664093,627.504084170751
"Sorghum (grain)","ruvuma",NA,1357.912,5,0,678.956,5,775.57278208441,911.033794162826,843.303288123618
"Spinach","ruvuma",650,529.105555555556,6,2,589.552777777778,8,680.999157988614,665.154723316131,673.076940652372
"Sugar","ruvuma",2118.0975,1727.19777777778,1,8,1922.64763888889,9,2229.94722955145,1734.45945945946,1982.20334450546
"Sweet potatoes","ruvuma",250,428.571428571428,2,2,503.346042121608,4,520.811190427831,485.880893815384,503.346042121608
"Tea (dry)","ruvuma",12667.1140740741,9592.59259259259,1,7,11129.8533333333,8,9971.64702271332,11140.6130268199,10556.1300247666
"Tomatoes","ruvuma",924.242424242424,922.222222222222,3,5,923.232323232323,8,1066.08215971181,990.790176855593,1028.4361682837
"Beans","shinyanga",1262.5,1307.69230769231,0,3,1325.66440062587,3,1318.5245684475,1332.80423280423,1325.66440062587
"Beef","shinyanga",2863.63636363636,3661.53846153846,5,3,3262.58741258741,8,4094.06338181029,3892.82407407407,3993.44372794218
"Bread","shinyanga",1950,1950,5,1,1950,6,1623.22978837828,1910.346215781,1766.78800207964
"Buns","shinyanga",1888.88888888889,1750,2,3,1819.44444444444,5,1915.63335670153,1946.37071488768,1931.0020357946
"Cabbage","shinyanga",339.204545454545,551.848845598846,10,2,445.526695526696,12,751.241399339098,605.263118753219,678.252259046159
"Canned milk/powder","shinyanga",18750,20000,4,1,19375,5,16813.1513647643,17746.6736694678,17279.912517116
"Carrot","shinyanga",2250,1866.66666666667,10,2,2058.33333333333,12,1533.22761797027,1536.68430335097,1534.95596066062
"Casava (dry)","shinyanga",346.153846153846,325,1,2,440.332869264989,3,413.386329904415,467.279408625563,440.332869264989
"Casava flour","shinyanga",450,911.111111111111,9,2,680.555555555556,11,763.570127504554,882.291666666667,822.93089708561
"Casava fresh","shinyanga",357.142857142857,518.27485380117,3,1,494.854547413127,4,522.07068493773,467.638409888524,494.854547413127
"Charcoal","shinyanga",394.612794612795,424.83660130719,2,3,409.724697959992,5,1173.65252524216,400.872061648404,787.262293445283
"Chicken (live)","shinyanga",4333.33333333333,4285.71428571429,6,1,4309.52380952381,7,6029.07359696701,5945.44389184245,5987.25874440473
"Citrus fruits","shinyanga",533.333333333333,1143.33333333333,9,1,838.333333333333,10,901.019683227447,809.698641700324,855.359162463885
"Coconuts","shinyanga",2055.55555555556,2393.6869923727,6,2,2224.62127396413,8,1209.29513268954,1565.40311484975,1387.34912376965
"Cocoyams","shinyanga",NA,1111.11111111111,2,0,782.573304730329,2,771.678503492551,793.468105968106,782.573304730329
"Cooking bananas","shinyanga",1214.28571428572,797.903485403485,12,2,1006.0945998446,14,864.120840224063,676.639242948531,770.380041586297
"Cooking oil","shinyanga",3199.96071428572,2880.21978021978,1,4,3040.09024725275,5,2841.72057652274,2845.34202569917,2843.53130111096
"Dagaa","shinyanga",3266.66666666667,2882.05128205128,1,3,3534.28733483595,4,3471.5298035298,3597.04486614209,3534.28733483595
"Eggs","shinyanga",200,262.5,1,3,252.427191322767,4,246.462774253925,258.391608391608,252.427191322767
"Firewood","shinyanga",NA,66.6666666666667,1,0,232.611471913338,1,342.076830680564,123.146113146113,232.611471913338
"Fresh fish","shinyanga",5000,3195.76719576719,3,2,4097.8835978836,5,3474.82112743641,4034.49116579713,3754.65614661677
"Fresh milk","shinyanga",645.238095238095,1000,1,4,822.619047619048,5,743.730158730159,836.842105263158,790.286131996658
"Goat meat","shinyanga",3375,4000,3,5,3687.5,8,16807.4380165289,7250.82972582973,12029.1338711793
"Groundnuts","shinyanga",1845.45454545455,2260.73538461538,6,4,2053.09496503496,10,1927.83505154639,2037.76462966139,1982.79984060389
"Irish potatoes","shinyanga",708.928571428571,700,7,2,704.464285714286,9,873.139417195124,740.617974122894,806.878695659009
"Kerosene","shinyanga",2234.28571428572,1710.71428571428,0,11,1972.5,11,1857.12066182405,1633.51428571429,1745.31747376917
"Local brews","shinyanga",553.241714285714,NA,0,5,276.620857142857,5,486.002426448286,478.070175438596,482.036300943441
"Maize (flour)","shinyanga",833.333333333333,853.846153846154,7,3,843.589743589744,10,797.993277848912,902.897102897103,850.445190373007
"Maize (grain)","shinyanga",407.044444444444,476.226890756303,3,6,441.635667600373,9,507.658465608466,480.53548085901,494.096973233738
"Maize (green, cob)","shinyanga",666.666666666667,NA,0,1,820.931044572815,1,999.391464532149,642.470624613482,820.931044572815
"Maize grinding costs","shinyanga",40.1271437908497,29.4747474747475,0,6,34.8009456327986,6,198.780193236715,53.944936086529,126.362564661622
"Mangoes","shinyanga",750,942.107692307692,6,1,846.053846153846,7,1129.45866691209,752.909725419285,941.184196165687
"Millet (flour)","shinyanga",1200,1114.28571428571,7,1,1157.14285714286,8,1548.80952380952,1497.84946236559,1523.32949308756
"Millet (grain)","shinyanga",1114.92666666667,958.333333333333,11,2,1036.63,13,1073.16513761468,1034.26160560307,1053.71337160887
"Onions","shinyanga",1736.85538461538,1866.77728937729,4,4,1801.81633699634,8,1565.73907268406,1539.19023569024,1552.46465418715
"Papaya","shinyanga",417.748917748918,623.733478996637,5,1,520.741198372777,6,746.510086806016,562.505252741732,654.507669773874
"Peas","shinyanga",900,1100,7,3,1000,10,1082.38341968912,1117.96636085627,1100.17489027269
"Rice (husked)","shinyanga",1187.5,1200,1,4,1193.75,5,1208.06349206349,1176.11111111111,1192.0873015873
"Rice (paddy)","shinyanga",888.888888888889,NA,0,1,622.664141414141,1,505.328282828283,740,622.664141414141
"Ripe bananas","shinyanga",1591.21148459384,1198.32181818182,9,2,1394.76665138783,11,982.517161656745,865.614549832844,924.065855744794
"Salt","shinyanga",671.598235294118,584.615384615385,0,4,627.504084170751,4,648.594075677409,606.414092664093,627.504084170751
"Sorghum (flour)","shinyanga",NA,475,2,0,1034.02777777778,2,987.5,1080.55555555556,1034.02777777778
"Sorghum (grain)","shinyanga",800,736.75,8,1,768.375,9,775.57278208441,911.033794162826,843.303288123618
"Spinach","shinyanga",360.952380952381,461.714975845411,9,2,411.333678398896,11,680.999157988614,665.154723316131,673.076940652372
"Sugar","shinyanga",1982.35294117647,1882.46333333333,0,5,1932.4081372549,5,2229.94722955145,1734.45945945946,1982.20334450546
"Sweet potatoes","shinyanga",677.777777777778,575.076187141523,6,1,626.426982459651,7,520.811190427831,485.880893815384,503.346042121608
"Tea (dry)","shinyanga",9529.80653594771,9282.05128205128,0,4,10556.1300247666,4,9971.64702271332,11140.6130268199,10556.1300247666
"Tomatoes","shinyanga",898.917748917749,1103.05719921104,4,2,1000.9874740644,6,1066.08215971181,990.790176855593,1028.4361682837
"Beans","singida",1320,1340,1,1,1325.66440062587,2,1318.5245684475,1332.80423280423,1325.66440062587
"Beef","singida",3071.42857142857,3633.33333333333,0,2,3993.44372794218,2,4094.06338181029,3892.82407407407,3993.44372794218
"Bread","singida",2000,1920,4,0,1766.78800207964,4,1623.22978837828,1910.346215781,1766.78800207964
"Buns","singida",1125,1155.55555555556,0,1,1931.0020357946,1,1915.63335670153,1946.37071488768,1931.0020357946
"Cabbage","singida",NA,809.258373205742,5,0,404.629186602871,5,751.241399339098,605.263118753219,678.252259046159
"Canned milk/powder","singida",NA,18125,4,0,17279.912517116,4,16813.1513647643,17746.6736694678,17279.912517116
"Carrot","singida",NA,1479.16666666667,4,0,1534.95596066062,4,1533.22761797027,1536.68430335097,1534.95596066062
"Casava (dry)","singida",694.78,NA,0,1,440.332869264989,1,413.386329904415,467.279408625563,440.332869264989
"Casava fresh","singida",892.683243887895,454.545454545455,1,1,494.854547413127,2,522.07068493773,467.638409888524,494.854547413127
"Charcoal","singida",636.709105180534,421.245333333333,1,1,787.262293445283,2,1173.65252524216,400.872061648404,787.262293445283
"Chicken (live)","singida",3382.93650793651,3155.55555555556,0,2,5987.25874440473,2,6029.07359696701,5945.44389184245,5987.25874440473
"Citrus fruits","singida",500,500,0,0,855.359162463885,0,901.019683227447,809.698641700324,855.359162463885
"Coconuts","singida",1666.66666666667,1291.66666666667,3,0,1387.34912376965,3,1209.29513268954,1565.40311484975,1387.34912376965
"Cocoyams","singida",NA,769.230769230769,1,0,782.573304730329,1,771.678503492551,793.468105968106,782.573304730329
"Cooking bananas","singida",NA,833.876153846153,5,0,416.938076923077,5,864.120840224063,676.639242948531,770.380041586297
"Cooking oil","singida",2376.19047619048,2700,0,2,2843.53130111096,2,2841.72057652274,2845.34202569917,2843.53130111096
"Dagaa","singida",2402.77777777778,2820,4,2,2611.38888888889,6,3471.5298035298,3597.04486614209,3534.28733483595
"Eggs","singida",185.714285714286,240,0,2,252.427191322767,2,246.462774253925,258.391608391608,252.427191322767
"Firewood","singida",26.3157894736842,66.6666666666667,1,1,232.611471913338,2,342.076830680564,123.146113146113,232.611471913338
"Fresh fish","singida",NA,5000,3,0,3754.65614661677,3,3474.82112743641,4034.49116579713,3754.65614661677
"Fresh milk","singida",600,740,2,2,790.286131996658,4,743.730158730159,836.842105263158,790.286131996658
"Goat meat","singida",2833.33333333333,2538.69047619048,4,3,2686.0119047619,7,16807.4380165289,7250.82972582973,12029.1338711793
"Groundnuts","singida",2694.78,2180,4,1,2437.39,5,1927.83505154639,2037.76462966139,1982.79984060389
"Irish potatoes","singida",600,720,5,1,660,6,873.139417195124,740.617974122894,806.878695659009
"Kerosene","singida",1952.66857142857,1670,0,2,1745.31747376917,2,1857.12066182405,1633.51428571429,1745.31747376917
"Local brews","singida",300,400,0,2,482.036300943441,2,486.002426448286,478.070175438596,482.036300943441
"Maize (flour)","singida",800,800,4,1,800,5,797.993277848912,902.897102897103,850.445190373007
"Maize (grain)","singida",275,483.333333333333,3,2,379.166666666667,5,507.658465608466,480.53548085901,494.096973233738
"Maize grinding costs","singida",44.7142857142857,37,0,3,126.362564661622,3,198.780193236715,53.944936086529,126.362564661622
"Mangoes","singida",NA,819.999999999999,5,0,410,5,1129.45866691209,752.909725419285,941.184196165687
"Millet (flour)","singida",NA,1000,1,0,1523.32949308756,1,1548.80952380952,1497.84946236559,1523.32949308756
"Millet (grain)","singida",800,866.666666666667,3,2,833.333333333333,5,1073.16513761468,1034.26160560307,1053.71337160887
"Onions","singida",1053.84615384615,1309.81142857143,2,2,1552.46465418715,4,1565.73907268406,1539.19023569024,1552.46465418715
"Papaya","singida",NA,602.272727272727,3,0,654.507669773874,3,746.510086806016,562.505252741732,654.507669773874
"Peas","singida",100,950,4,1,525,5,1082.38341968912,1117.96636085627,1100.17489027269
"Rice (husked)","singida",1185.71428571429,1140,0,2,1192.0873015873,2,1208.06349206349,1176.11111111111,1192.0873015873
"Ripe bananas","singida",500,900,5,1,700,6,982.517161656745,865.614549832844,924.065855744794
"Salt","singida",750,580,1,2,627.504084170751,3,648.594075677409,606.414092664093,627.504084170751
"Sorghum (grain)","singida",250,750,3,1,843.303288123618,4,775.57278208441,911.033794162826,843.303288123618
"Spinach","singida",1015.06117647059,963.186666666667,4,1,989.123921568628,5,680.999157988614,665.154723316131,673.076940652372
"Sugar","singida",1766.66666666667,1720,0,1,1982.20334450546,1,2229.94722955145,1734.45945945946,1982.20334450546
"Sweet potatoes","singida",NA,536.700336700337,3,0,503.346042121608,3,520.811190427831,485.880893815384,503.346042121608
"Tea (dry)","singida",12129.6296296296,9600,0,1,10556.1300247666,1,9971.64702271332,11140.6130268199,10556.1300247666
"Tomatoes","singida",1022.22222222222,850,1,2,1028.4361682837,3,1066.08215971181,990.790176855593,1028.4361682837
"Beans","tabora",1307.14285714286,1362.5,0,6,1334.82142857143,6,1318.5245684475,1332.80423280423,1325.66440062587
"Beef","tabora",2777.77777777778,3625,2,3,3201.38888888889,5,4094.06338181029,3892.82407407407,3993.44372794218
"Bread","tabora",1400,1787.5,3,0,1766.78800207964,3,1623.22978837828,1910.346215781,1766.78800207964
"Buns","tabora",1064.1835016835,1085.71428571429,1,8,1074.94889369889,9,1915.63335670153,1946.37071488768,1931.0020357946
"Cabbage","tabora",NA,678.807951770451,8,0,339.403975885226,8,751.241399339098,605.263118753219,678.252259046159
"Canned milk/powder","tabora",NA,14138.8888888889,7,0,7069.44444444445,7,16813.1513647643,17746.6736694678,17279.912517116
"Carrot","tabora",NA,2166.66666666667,6,0,1083.33333333333,6,1533.22761797027,1536.68430335097,1534.95596066062
"Casava (dry)","tabora",NA,755.555555555555,3,0,440.332869264989,3,413.386329904415,467.279408625563,440.332869264989
"Casava flour","tabora",800,900,2,1,822.93089708561,3,763.570127504554,882.291666666667,822.93089708561
"Casava fresh","tabora",283.333333333333,468.75,3,1,494.854547413127,4,522.07068493773,467.638409888524,494.854547413127
"Charcoal","tabora",154.618257559434,329.166666666667,2,5,241.89246211305,7,1173.65252524216,400.872061648404,787.262293445283
"Chicken (live)","tabora",3707.98611111111,3706.59722222222,4,4,3707.29166666667,8,6029.07359696701,5945.44389184245,5987.25874440473
"Citrus fruits","tabora",500,974.537037037038,6,1,737.268518518519,7,901.019683227447,809.698641700324,855.359162463885
"Coconuts","tabora",2601.21862745098,1547.61904761905,6,0,2074.41883753501,6,1209.29513268954,1565.40311484975,1387.34912376965
"Cocoyams","tabora",NA,1111.11111111111,1,0,782.573304730329,1,771.678503492551,793.468105968106,782.573304730329
"Cooking bananas","tabora",1333.33333333333,766.865079365079,6,1,1050.0992063492,7,864.120840224063,676.639242948531,770.380041586297
"Cooking oil","tabora",2911.99120879121,2828.57142857143,0,5,2870.28131868132,5,2841.72057652274,2845.34202569917,2843.53130111096
"Dagaa","tabora",3457.57575757576,2937.5,2,5,3197.53787878788,7,3471.5298035298,3597.04486614209,3534.28733483595
"Eggs","tabora",195.454545454545,293.75,2,5,244.602272727273,7,246.462774253925,258.391608391608,252.427191322767
"Fresh fish","tabora",NA,4250,3,0,3754.65614661677,3,3474.82112743641,4034.49116579713,3754.65614661677
"Fresh milk","tabora",442.857142857143,600,2,4,521.428571428571,6,743.730158730159,836.842105263158,790.286131996658
"Goat meat","tabora",3000,3833.33333333333,3,4,3416.66666666667,7,16807.4380165289,7250.82972582973,12029.1338711793
"Groundnuts","tabora",1675,1737.5,4,4,1706.25,8,1927.83505154639,2037.76462966139,1982.79984060389
"Irish potatoes","tabora",723.333333333333,623.863636363636,4,1,673.598484848485,5,873.139417195124,740.617974122894,806.878695659009
"Kerosene","tabora",1860.516996337,1675.3875,0,5,1767.9522481685,5,1857.12066182405,1633.51428571429,1745.31747376917
"Local brews","tabora",420.833333333333,422.222222222222,0,9,421.527777777778,9,486.002426448286,478.070175438596,482.036300943441
"Maize (flour)","tabora",775,762.5,4,0,850.445190373007,4,797.993277848912,902.897102897103,850.445190373007
"Maize (grain)","tabora",303.5,371.666666666667,4,6,337.583333333333,10,507.658465608466,480.53548085901,494.096973233738
"Maize (green, cob)","tabora",NA,666.666666666667,1,0,820.931044572815,1,999.391464532149,642.470624613482,820.931044572815
"Maize grinding costs","tabora",41.8461538461538,46.25,0,5,44.0480769230769,5,198.780193236715,53.944936086529,126.362564661622
"Mangoes","tabora",633.333333333333,776.568498168498,6,2,704.950915750916,8,1129.45866691209,752.909725419285,941.184196165687
"Millet (flour)","tabora",NA,700,1,0,1523.32949308756,1,1548.80952380952,1497.84946236559,1523.32949308756
"Millet (grain)","tabora",975,887.5,5,1,931.25,6,1073.16513761468,1034.26160560307,1053.71337160887
"Onions","tabora",897.435897435897,950,2,6,923.717948717949,8,1565.73907268406,1539.19023569024,1552.46465418715
"Papaya","tabora",333.333333333333,637.491330567315,7,1,485.412331950324,8,746.510086806016,562.505252741732,654.507669773874
"Peas","tabora",1000,850,5,1,925,6,1082.38341968912,1117.96636085627,1100.17489027269
"Rice (husked)","tabora",1150,1100,0,6,1125,6,1208.06349206349,1176.11111111111,1192.0873015873
"Rice (paddy)","tabora",327.5,400,1,4,363.75,5,505.328282828283,740,622.664141414141
"Ripe bananas","tabora",980.76923076923,937.5,5,2,959.134615384615,7,982.517161656745,865.614549832844,924.065855744794
"Salt","tabora",680.769230769231,575,0,5,627.884615384615,5,648.594075677409,606.414092664093,627.504084170751
"Sorghum (flour)","tabora",NA,1000,1,0,1034.02777777778,1,987.5,1080.55555555556,1034.02777777778
"Sorghum (grain)","tabora",483.333333333333,775,6,1,629.166666666667,7,775.57278208441,911.033794162826,843.303288123618
"Spinach","tabora",678.571428571429,606.547619047619,6,5,642.559523809524,11,680.999157988614,665.154723316131,673.076940652372
"Sugar","tabora",1821.42857142857,1725,0,6,1773.21428571429,6,2229.94722955145,1734.45945945946,1982.20334450546
"Sweet potatoes","tabora",366.666666666667,450.031328320802,3,3,408.348997493734,6,520.811190427831,485.880893815384,503.346042121608
"Tea (dry)","tabora",11863.7641025641,6812.5,0,5,9338.13205128205,5,9971.64702271332,11140.6130268199,10556.1300247666
"Tomatoes","tabora",976.021080368906,1038.99375,3,6,1007.50741518445,9,1066.08215971181,990.790176855593,1028.4361682837
"Beans","tanga",1208.33333333333,1157.14285714286,2,7,1182.7380952381,9,1318.5245684475,1332.80423280423,1325.66440062587
"Beef","tanga",3769.23076923077,3785.71428571429,1,7,3777.47252747253,8,4094.06338181029,3892.82407407407,3993.44372794218
"Bread","tanga",1833.33333333333,1918.75,3,2,1876.04166666667,5,1623.22978837828,1910.346215781,1766.78800207964
"Buns","tanga",1937.31666666667,NA,0,5,968.658333333335,5,1915.63335670153,1946.37071488768,1931.0020357946
"Cabbage","tanga",322.281397939293,443.787363430221,5,4,383.034380684757,9,751.241399339098,605.263118753219,678.252259046159
"Carrot","tanga",1277.77777777778,1134.01360544218,5,1,1205.89569160998,6,1533.22761797027,1536.68430335097,1534.95596066062
"Casava flour","tanga",500,550,1,0,822.93089708561,1,763.570127504554,882.291666666667,822.93089708561
"Casava fresh","tanga",389.423076923077,375,1,2,494.854547413127,3,522.07068493773,467.638409888524,494.854547413127
"Charcoal","tanga",323.863636363636,369.047619047619,3,2,346.455627705628,5,1173.65252524216,400.872061648404,787.262293445283
"Chicken (live)","tanga",5916.66666666667,6750,1,7,6333.33333333333,8,6029.07359696701,5945.44389184245,5987.25874440473
"Citrus fruits","tanga",393.492063492063,453.571428571428,3,2,423.531746031746,5,901.019683227447,809.698641700324,855.359162463885
"Coconuts","tanga",966.780045351474,959.410430839002,4,4,963.095238095238,8,1209.29513268954,1565.40311484975,1387.34912376965
"Cocoyams","tanga",1176.47058823529,954.545454545455,2,1,782.573304730329,3,771.678503492551,793.468105968106,782.573304730329
"Cooking bananas","tanga",180.555555555555,480.239350021959,4,1,330.397452788757,5,864.120840224063,676.639242948531,770.380041586297
"Cooking oil","tanga",2807.69230769231,2760,1,9,2783.84615384615,10,2841.72057652274,2845.34202569917,2843.53130111096
"Dagaa","tanga",2777.77777777778,2633.33333333333,1,4,2705.55555555556,5,3471.5298035298,3597.04486614209,3534.28733483595
"Eggs","tanga",212.5,250,1,7,231.25,8,246.462774253925,258.391608391608,252.427191322767
"Fresh fish","tanga",2800,2750,2,1,3754.65614661677,3,3474.82112743641,4034.49116579713,3754.65614661677
"Fresh milk","tanga",650,600,0,5,625,5,743.730158730159,836.842105263158,790.286131996658
"Goat meat","tanga",11171.7,6223.9,0,8,8697.8,8,16807.4380165289,7250.82972582973,12029.1338711793
"Groundnuts","tanga",2016.66666666667,1885.71428571429,3,2,1951.19047619048,5,1927.83505154639,2037.76462966139,1982.79984060389
"Irish potatoes","tanga",557.738095238095,557.142857142857,5,2,557.440476190476,7,873.139417195124,740.617974122894,806.878695659009
"Kerosene","tanga",1925,1466.66666666667,1,10,1695.83333333333,11,1857.12066182405,1633.51428571429,1745.31747376917
"Local brews","tanga",250,NA,0,2,482.036300943441,2,486.002426448286,478.070175438596,482.036300943441
