"y2_hhid","plotnum","plot_value","maize_price","maize_value","output_kg_old","output_kg_new","maize_share","crop_count","beans","cash_crop"
"1002009003034101","M2",611658.097435897,361.25,541875,1500,1693.1712039748,88.5911593865214,2,FALSE,FALSE
"1002009003034103","M1",180625,361.25,180625,500,500,100,1,FALSE,FALSE
"1002009003038901","M1",103969.58974359,361.25,72250,200,287.805092715819,69.491473591637,2,FALSE,FALSE
"1002009003038901","M2",183341.424123238,361.25,108375,300,507.519513143912,59.1110277005117,2,TRUE,FALSE
"1002009003045201","M1",72250,361.25,72250,200,200,100,1,FALSE,FALSE
"1002009003045201","M2",1327814.17948718,361.25,1264375,3500,3675.61018543164,95.2222848296679,2,FALSE,FALSE
"1002011311000801","M1",379312.5,361.25,379312.5,1050,1050,100,1,FALSE,FALSE
"1002011311000801","M3",294985.71,361.25,162562.5,450,816.569439446367,55.108601701418,2,FALSE,FALSE
"1002011311001301","M1",130050,361.25,130050,360,360,100,1,FALSE,FALSE
"1002011311001301","M2",173400,361.25,173400,480,480,100,1,FALSE,FALSE
"1002011311001301","M3",173400,361.25,173400,480,480,100,1,FALSE,FALSE
"1002011311001601","M1",28900,361.25,28900,80,80,100,1,FALSE,FALSE
"1002011311001601","M4",739252.55653884,361.25,563550,1560,2046.37385893105,76.2324046112908,2,TRUE,FALSE
"1002011311001602","M1",14681.9133333333,361.25,3612.5,10,40.6419746251441,24.6051036944777,2,FALSE,FALSE
"1002011311001602","M3",32097.007538512,361.25,8670,24,88.8498478574727,27.0118639240658,2,TRUE,FALSE
"1002011311001602","M4",21675,361.25,21675,60,60,100,1,FALSE,FALSE
"1002011311001602","M5",5418.75,361.25,5418.75,15,15,100,1,FALSE,FALSE
"1002011311001602","M6",16068.3928571428,361.25,7586.25,21,44.479980227385,47.212251203005,2,FALSE,FALSE
"1002011311001901","M1",386275.511307768,361.25,351135,972,1069.27477178621,90.9027338572935,2,TRUE,FALSE
"1002011311001901","M2",39015,361.25,39015,108,108,100,1,FALSE,FALSE
"1002011311003001","M1",163899.015077024,361.25,117045,324,453.699695714945,71.4128757546193,2,TRUE,FALSE
"1002011311003001","M2",156060,361.25,156060,432,432,100,1,FALSE,FALSE
"1002011311003301","M1",257758.928571428,361.25,54187.5,150,713.519525457241,21.0225501402889,2,FALSE,FALSE
"1002011311003301","M4",NA,361.25,270937.5,750,NA,NA,3,TRUE,FALSE
"1002011311008301","M1",406135.03769256,361.25,289000,800,1124.24923928736,71.1585982933021,2,TRUE,FALSE
"1002011311008301","M2",578000,361.25,578000,1600,1600,100,1,FALSE,FALSE
"1002011311008301","M3",433500,361.25,433500,1200,1200,100,1,FALSE,FALSE
"1002011311009601","M1",43350,361.25,43350,120,120,100,1,FALSE,FALSE
"1002011311009601","M3",77614.507538512,361.25,54187.5,150,214.849847857473,69.8162002420905,2,TRUE,FALSE
"1002014004003601","M1",783515.217948717,361.25,270937.5,750,2168.90025729749,34.5797367802668,3,FALSE,FALSE
"1002014004005901","M3",185989.507538512,361.25,162562.5,450,514.849847857473,87.4041241097103,2,TRUE,FALSE
"1002014004006801","M2",578000,361.25,578000,1600,1600,100,1,FALSE,FALSE
"1002014004006802","M1",86559.1794871794,361.25,23120,64,239.610185431638,26.7100498606556,2,FALSE,FALSE
"1002014004009201","M1",1192453.72653859,361.25,415437.5,1150,3300.90996965699,34.8388780842606,4,TRUE,TRUE
"1002014004018801","M1",589454.384615385,361.25,541875,1500,1631.70763907373,91.9282329799905,2,FALSE,FALSE
"1002014004018801","M2",15154.8974358974,361.25,7225,20,41.9512731789548,47.6743576164767,2,FALSE,FALSE
"1002014004019201","M1",610601.307692307,361.25,325125,900,1690.24583444237,53.2466923840648,2,FALSE,TRUE
"1002014004019202","M1",216750,361.25,216750,600,600,100,1,FALSE,FALSE
"1002014004022501","M1",36125,361.25,36125,100,100,100,1,FALSE,FALSE
"1002014004022501","M2",126437.5,361.25,126437.5,350,350,100,1,FALSE,FALSE
"1003013001011502","M1",111389.393939394,361.25,14450,40,308.344343084827,12.9725097596474,3,FALSE,FALSE
"1003013001011504","M1",54187.5,361.25,54187.5,150,150,100,1,FALSE,FALSE
"1003013001012401","M2",64366.0714285714,361.25,54187.5,150,178.175976272862,84.1864336246359,2,FALSE,FALSE
"1003013001019301","M1",11560,361.25,11560,32,32,100,1,FALSE,FALSE
"1003013001031701","M1",210932.137142857,361.25,7225,20,583.895189322788,3.42527226901738,4,FALSE,FALSE
"1003013001041901","M4",NA,361.25,NA,NA,NA,NA,2,FALSE,FALSE
"1003013001047001","M1",NA,361.25,NA,NA,NA,NA,2,FALSE,FALSE
"1003014002000401","M3",266015.05653884,361.25,90312.5,250,736.373858931045,33.9501459710848,2,TRUE,FALSE
"1003014002015301","M1",256270.530154048,361.25,162562.5,450,709.399391429891,63.4339422103202,2,TRUE,FALSE
"1003014002019601","M2",36125,361.25,36125,100,100,100,1,FALSE,FALSE
"1003014002019601","M4",72250,361.25,72250,200,200,100,1,FALSE,FALSE
"1003014002019601","M5",28900,361.25,28900,80,80,100,1,FALSE,FALSE
"1003014002031701","M1",533999.090462144,361.25,252875,700,1478.19817428967,47.3549495713845,2,TRUE,FALSE
"1003014002034901","M1",108375,361.25,108375,300,300,100,1,FALSE,FALSE
"1003014002034901","M2",72250,361.25,72250,200,200,100,1,FALSE,FALSE
"1003014002040501","M2",166175,361.25,166175,460,460,100,1,FALSE,FALSE
"1003014002040501","M3",108375,361.25,108375,300,300,100,1,FALSE,FALSE
"1003014002040504","M1",86700,361.25,86700,240,240,100,1,FALSE,FALSE
"1003014002040504","M2",130050,361.25,130050,360,360,100,1,FALSE,FALSE
"1003014002050001","M1",86700,361.25,86700,240,240,100,1,FALSE,FALSE
"1003014002050001","M4",384243.067846608,361.25,173400,480,1063.64863071725,45.1276846637145,2,TRUE,FALSE
"1003014002050901","M1",72250,361.25,72250,200,200,100,1,FALSE,FALSE
"1003014002050901","M3",333885.03769256,361.25,216750,600,924.249239287363,64.9175541072261,2,TRUE,FALSE
"1003022002014801","M1",913249.701125541,361.25,289000,800,2528.02685432676,31.6452334606647,3,FALSE,FALSE
"1003022002014803","M2",191354.015077024,361.25,144500,400,529.699695714945,75.5144855161966,2,TRUE,FALSE
"1003022002021701","M2",284369.646315664,361.25,144500,400,787.182411946475,50.8141434475035,3,TRUE,FALSE
"1003022002021701","M3",361250,361.25,361250,1000,1000,100,1,FALSE,FALSE
"1003022002026301","M1",231200,361.25,231200,640,640,100,1,FALSE,FALSE
"1003022002026301","M4",14450,361.25,14450,40,40,100,1,FALSE,FALSE
"1003022002028301","M1",238425,361.25,180625,500,660,75.7575757575758,2,FALSE,FALSE
"1003022002028301","M3",165958.030154048,361.25,43350,120,459.399391429891,26.1210620298162,3,TRUE,FALSE
"1003022002033601","M1",193883.928571429,361.25,90312.5,250,536.702916460702,46.5807045820861,2,FALSE,FALSE
"1003022002033601","M4",72250,361.25,72250,200,200,100,1,FALSE,FALSE
"1003022002033602","M1",198785.714285714,361.25,144500,400,550.271873455264,72.6913402802731,2,FALSE,FALSE
"1003022002040101","M2",252875,361.25,252875,700,700,100,1,FALSE,FALSE
"1003022002040101","M5",523812.5,361.25,433500,1200,1450,82.7586206896552,2,FALSE,FALSE
"1003022002045301","M3",429562.045231072,361.25,289000,800,1189.09908714484,67.2778247539397,2,TRUE,FALSE
"1003022002045301","M5",650250,361.25,650250,1800,1800,100,1,FALSE,FALSE
