"item_name","region","vill_price_region","dis_price_region","vill_obs_region","dis_obs_region","region_price","tot_obs","vill_price_national","dis_price_national","national_price"
"Batteries","Arusha",661.538461538462,712.5,0,9,687.019230769231,9,511.930783242259,468.6,490.265391621129
"Beans","Arusha",1580.86909090909,1500,2,10,1540.43454545455,12,1586.75577425966,1605.29467184722,1596.02522305344
"Beef","Arusha",5769.23076923077,5750,0,9,5759.61538461538,9,5435.78947368421,5766.99029126214,5601.38988247317
"Bread","Arusha",2000,2500,6,11,2250,17,2308.71778778698,2928.4195211452,2618.56865446609
"Buns","Arusha",1666.66666666667,NA,12,13,833.333333333335,25,2156.29710193987,1983.21518101564,2069.75614147775
"Cabbage","Arusha",424.287924287925,666.193543691087,10,9,545.240733989506,19,892.249245294782,902.435212934188,897.342229114485
"Canned milk/powder","Arusha",21250,NA,12,13,10625,25,21469.474969475,26819.6248196248,24144.5498945499
"Carrot","Arusha",666.184506589521,1146.61654135338,9,9,906.400523971452,18,1456.11494021951,2194.40985053602,1825.26239537776
"Casava (dry)","Arusha",NA,NA,13,13,0,26,4974.46534171287,930.187580396431,2952.32646105465
"Casava flour","Arusha",NA,NA,13,13,0,26,1050.04025278751,1085.63863152098,1067.83944215425
"Casava fresh","Arusha",NA,NA,13,13,0,26,719.301605655338,857.399090899943,788.35034827764
"Charcoal","Arusha",421.768707482993,833.692857142856,11,12,627.730782312925,23,3166.35754619885,10175.0535887229,6670.70556746085
"Chicken (live)","Arusha",9416.66666666667,9000,1,9,9208.33333333333,10,7638.87002034581,7588.69874719003,7613.78438376792
"Cigarettes","Arusha",150,150,0,9,150,9,156.310502283105,148.762376237624,152.536439260364
"Citrus fruits","Arusha",651.369168356998,1512.34567901234,9,10,1081.85742368467,19,1058.0883923739,1304.8431288117,1181.4657605928
"Coconuts","Arusha",1319.44444444445,2169.586996337,11,11,1744.51572039072,22,1076.04045564752,1697.8724428601,1386.95644925381
"Cocoyams","Arusha",NA,NA,13,13,0,26,1170.37429535603,865.79781428868,1018.08605482236
"Cooking bananas","Arusha",1039.09671134206,714.285714285714,8,12,876.691212813888,20,2370.65800482614,1038.14481189841,1704.40140836227
"Cooking oil","Arusha",3346.63076923077,3322.39,0,9,3334.51038461538,9,3132.96519730628,3135.85164835165,3134.40842282897
"Dagaa","Arusha",5553.57142857143,4166.66666666667,9,10,4860.11904761905,19,3978.72777955805,4867.67047651804,4423.19912803804
