"region","item_name","vill_price","dis_price"
"Dodoma","Tea (dry)",10000,10000
"Dodoma","Tea (dry)",40000,NA
"Dodoma","Tea (dry)",10000,10000
"Dodoma","Tea (dry)",12000,NA
"Dodoma","Tea (dry)",10000,10000
"Dodoma","Tea (dry)",10000,NA
"Dodoma","Tea (dry)",10000,NA
"Dodoma","Tea (dry)",33333.3333333333,33333.3333333333
"Dodoma","Tea (dry)",10000,10000
"Dodoma","Tea (dry)",10000,NA
"Dodoma","Tea (dry)",10000,NA
"Dodoma","Matches",100,100
"Dodoma","Matches",150,NA
"Dodoma","Matches",100,100
"Dodoma","Matches",100,NA
"Dodoma","Matches",100,100
"Dodoma","Matches",100,NA
"Dodoma","Matches",100,NA
"Dodoma","Matches",100,100
"Dodoma","Matches",100,100
"Dodoma","Matches",100,NA
"Dodoma","Matches",100,NA
"Dodoma","Charcoal",225,375
"Dodoma","Charcoal",NA,NA
"Dodoma","Charcoal",225,300
"Dodoma","Charcoal",107.142857142857,NA
"Dodoma","Charcoal",3e+05,3e+05
"Dodoma","Charcoal",300,NA
"Dodoma","Charcoal",200,NA
"Dodoma","Charcoal",375,312.5
"Dodoma","Charcoal",200,300
"Dodoma","Charcoal",250,NA
"Dodoma","Charcoal",250,NA
"Dodoma","Irish potatoes",NA,1000
"Dodoma","Irish potatoes",NA,NA
"Dodoma","Irish potatoes",NA,1000
"Dodoma","Irish potatoes",500,NA
"Dodoma","Irish potatoes",100,1000
"Dodoma","Irish potatoes",1000,NA
"Dodoma","Irish potatoes",1298.7012987013,NA
"Dodoma","Irish potatoes",294.117647058824,333.333333333333
"Dodoma","Irish potatoes",NA,900
"Dodoma","Irish potatoes",NA,NA
"Dodoma","Irish potatoes",NA,NA
"Dodoma","Eggs",250,400
"Dodoma","Eggs",200,NA
"Dodoma","Eggs",200,300
"Dodoma","Eggs",250,NA
"Dodoma","Eggs",300,300
"Dodoma","Eggs",200,NA
"Dodoma","Eggs",200,NA
"Dodoma","Eggs",200,200
"Dodoma","Eggs",250,250
"Dodoma","Eggs",250,NA
"Dodoma","Eggs",200,NA
"Dodoma","Mangoes",1769.91150442478,1730.10380622837
"Dodoma","Mangoes",NA,NA
"Dodoma","Mangoes",1060.07067137809,1381.21546961326
"Dodoma","Mangoes",NA,NA
"Dodoma","Mangoes",1106.19469026549,1106.19469026549
"Dodoma","Mangoes",NA,NA
"Dodoma","Mangoes",1834.8623853211,NA
"Dodoma","Mangoes",NA,NA
"Dodoma","Mangoes",NA,1831.50183150183
"Dodoma","Mangoes",NA,NA
"Dodoma","Mangoes",1149.42528735632,NA
"Dodoma","Casava flour",NA,NA
"Dodoma","Casava flour",NA,NA
"Dodoma","Casava flour",NA,NA
"Dodoma","Casava flour",NA,NA
"Dodoma","Casava flour",NA,NA
"Dodoma","Casava flour",NA,NA
"Dodoma","Casava flour",NA,NA
"Dodoma","Casava flour",NA,NA
"Dodoma","Casava flour",NA,NA
"Dodoma","Casava flour",NA,NA
"Dodoma","Casava flour",NA,NA
"Dodoma","Fresh milk",500,700
"Dodoma","Fresh milk",500,NA
"Dodoma","Fresh milk",500,1000
"Dodoma","Fresh milk",1000,NA
"Dodoma","Fresh milk",800,800
"Dodoma","Fresh milk",1000,NA
"Dodoma","Fresh milk",NA,NA
"Dodoma","Fresh milk",700,1000
"Dodoma","Fresh milk",500,800
"Dodoma","Fresh milk",500,NA
"Dodoma","Fresh milk",500,NA
"Dodoma","Chicken (live)",3200,4000
"Dodoma","Chicken (live)",3636.36363636364,NA
"Dodoma","Chicken (live)",3200,4800
"Dodoma","Chicken (live)",6000,NA
"Dodoma","Chicken (live)",4000,4000
"Dodoma","Chicken (live)",4000,NA
"Dodoma","Chicken (live)",3200,NA
"Dodoma","Chicken (live)",3500,5333.33333333333
"Dodoma","Chicken (live)",4000,5600
"Dodoma","Chicken (live)",3200,NA
"Dodoma","Chicken (live)",2800,NA
"Dodoma","Salt",4000,4000
"Dodoma","Salt",400,NA
"Dodoma","Salt",5000,6000
"Dodoma","Salt",857.142857142857,NA
"Dodoma","Salt",4000,4000
"Dodoma","Salt",4000,NA
"Dodoma","Salt",4000,NA
"Dodoma","Salt",600,600
"Dodoma","Salt",4000,4000
"Dodoma","Salt",6000,NA
"Dodoma","Salt",4000,NA
"Dodoma","Casava (dry)",NA,NA
"Dodoma","Casava (dry)",NA,NA
"Dodoma","Casava (dry)",NA,NA
"Dodoma","Casava (dry)",NA,NA
"Dodoma","Casava (dry)",NA,NA
"Dodoma","Casava (dry)",NA,NA
"Dodoma","Casava (dry)",NA,NA
"Dodoma","Casava (dry)",NA,NA
"Dodoma","Casava (dry)",NA,NA
"Dodoma","Casava (dry)",NA,NA
"Dodoma","Casava (dry)",NA,NA
"Dodoma","Beans",1200,1500
"Dodoma","Beans",1000,NA
"Dodoma","Beans",1600,1700
"Dodoma","Beans",1500,NA
"Dodoma","Beans",1600,1600
"Dodoma","Beans",1800,NA
"Dodoma","Beans",1600,NA
"Dodoma","Beans",2000,2000
"Dodoma","Beans",1800,1500
"Dodoma","Beans",2000,NA
"Dodoma","Beans",1500,NA
"Dodoma","Peas",NA,1000
"Dodoma","Peas",1500,NA
"Dodoma","Peas",2000,1000
"Dodoma","Peas",NA,NA
"Dodoma","Peas",1200,1200
"Dodoma","Peas",1500,NA
"Dodoma","Peas",2000,NA
"Dodoma","Peas",NA,NA
"Dodoma","Peas",NA,1000
"Dodoma","Peas",1000,NA
"Dodoma","Peas",1000,NA
"Dodoma","Sorghum (grain)",NA,NA
"Dodoma","Sorghum (grain)",250,NA
"Dodoma","Sorghum (grain)",400,1500
"Dodoma","Sorghum (grain)",NA,NA
"Dodoma","Sorghum (grain)",500,500
"Dodoma","Sorghum (grain)",800,NA
"Dodoma","Sorghum (grain)",600,NA
"Dodoma","Sorghum (grain)",900,1000
"Dodoma","Sorghum (grain)",600,1000
"Dodoma","Sorghum (grain)",NA,NA
"Dodoma","Sorghum (grain)",750,NA
"Dodoma","Kerosine",2500,2500
"Dodoma","Kerosine",2500,NA
"Dodoma","Kerosine",2400,2400
"Dodoma","Kerosine",1500,NA
"Dodoma","Kerosine",2400,2400
"Dodoma","Kerosine",2500,NA
"Dodoma","Kerosine",2400,NA
"Dodoma","Kerosine",12000,12000
"Dodoma","Kerosine",2400,2200
"Dodoma","Kerosine",3000,NA
"Dodoma","Kerosine",2500,NA
"Dodoma","Local brews",200,500
"Dodoma","Local brews",400,NA
"Dodoma","Local brews",300,400
"Dodoma","Local brews",300,NA
"Dodoma","Local brews",700,700
"Dodoma","Local brews",500,NA
"Dodoma","Local brews",400,NA
"Dodoma","Local brews",400,500
"Dodoma","Local brews",250,300
"Dodoma","Local brews",400,NA
"Dodoma","Local brews",300,NA
"Dodoma","Goat meat",2000,2000
"Dodoma","Goat meat",3000,NA
"Dodoma","Goat meat",3e+06,3000
"Dodoma","Goat meat",5000,NA
"Dodoma","Goat meat",2750,2750
"Dodoma","Goat meat",2500,NA
"Dodoma","Goat meat",2500,NA
"Dodoma","Goat meat",3500,4000
"Dodoma","Goat meat",2500,3000
"Dodoma","Goat meat",2500,NA
"Dodoma","Goat meat",3000,NA
"Dodoma","Casava fresh",1137.65642775882,1095.29025191676
"Dodoma","Casava fresh",156.25,NA
"Dodoma","Casava fresh",NA,1402.52454417952
"Dodoma","Casava fresh",NA,NA
"Dodoma","Casava fresh",1223.99020807834,1223.99020807834
"Dodoma","Casava fresh",NA,NA
"Dodoma","Casava fresh",NA,NA
"Dodoma","Casava fresh",NA,NA
"Dodoma","Casava fresh",1402.52454417952,1230.012300123
"Dodoma","Casava fresh",1402.52454417952,NA
"Dodoma","Casava fresh",NA,NA
"Dodoma","Cabbage",NA,625
"Dodoma","Cabbage",NA,NA
"Dodoma","Cabbage",652.52854812398,1140.68441064639
"Dodoma","Cabbage",NA,NA
"Dodoma","Cabbage",833.333333333333,833.333333333333
"Dodoma","Cabbage",1215.55915721232,NA
"Dodoma","Cabbage",NA,NA
"Dodoma","Cabbage",789.473684210526,800
"Dodoma","Cabbage",NA,473.484848484848
"Dodoma","Cabbage",1470.58823529412,NA
"Dodoma","Cabbage",NA,NA
"Dodoma","Coconuts",NA,1166.86114352392
"Dodoma","Coconuts",NA,NA
"Dodoma","Coconuts",NA,1230.012300123
"Dodoma","Coconuts",NA,NA
"Dodoma","Coconuts",1333.33333333333,1333.33333333333
"Dodoma","Coconuts",1626.0162601626,NA
"Dodoma","Coconuts",NA,NA
"Dodoma","Coconuts",NA,NA
"Dodoma","Coconuts",NA,1293.66106080207
"Dodoma","Coconuts",NA,NA
"Dodoma","Coconuts",NA,NA
"Dodoma","Maize (green, cob)",NA,NA
