"hhid","plotnum","hir.lab.days","fam.lab.days","area.est","area.gps","plot.dist","soil","soilq","eroscont","erosion","irrigation","slope","ownership","land.title","cultivate","pest","pest.kg","pest.unit","pest.type","pest.price","org.fert","org.fert.kg","org.fert.price","fert.type","fert","fert.kg","fert.price","N_share","P_share","K_share","nitrogen.kg","phosphorous.kg","potassium.kg","plot.value","maize.price","maize.value","output.kg.old","output.kg.new","maize.share","crop.count","beans","cash.crop","total.plot","inter.crop","seed.type","soh","aoh","hh.size","own.sh","rent.sh","plots","plot.missing","region","year","voucher"
1020030030004,"M2",10,78,0.80937128448,NA,NA,"Loam","Average","NO","NO","NO","Slightly sloped","Owned","NO","YES","NO",0,NA,NA,0,"YES",120,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,667260.284220634,380.555555555555,410999.999999999,1080,1753.38468846298,61.5951540529722,2,FALSE,FALSE,"YES","YES","TRADITIONAL","Male",40,2,18000,45000,2,"NO","Dodoma",2008,NA
1020030030022,"M1",0,250,2.0234282112,NA,NA,"Loam","Good","NO","NO","NO","Slightly sloped","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,311200,380.555555555555,91333.3333333332,240,817.75182481752,29.3487574978577,2,FALSE,FALSE,"NO","YES","TRADITIONAL","Male",49,10,75000,0,1,"NO","Dodoma",2008,NA
1020030030140,"M1",0,0,0.60702846336,NA,NA,NA,NA,NA,NA,NA,NA,"Owned","NO","NO",NA,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",64,1,4000,0,1,"YES","Dodoma",2008,NA
1020030030161,"M1",0,32,0.40468564224,0.2281,0.2,"Loam","Good","NO","NO","NO","Flat bottom","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,83861.1111111111,380.555555555555,38055.5555555555,100,220.36496350365,45.3792646571712,2,FALSE,FALSE,"NO","YES","TRADITIONAL","Male",69,2,16000,30000,3,"NO","Dodoma",2008,NA
1020030030161,"M2",4,82,1.21405692672,0.774799999999999,1.8,"Loam","Good","NO","NO","NO","Flat bottom","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,495796.808776984,380.555555555555,114166.666666666,300,1302.82373109281,23.0269063143608,3,FALSE,FALSE,"NO","YES","TRADITIONAL","Male",69,2,16000,30000,3,"NO","Dodoma",2008,NA
1020030030161,"M3",0,42,0.10117141056,0.0415999999999999,0,"Loam","Good","NO","NO","NO","Flat bottom","Used free of charge",NA,"YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",69,2,16000,30000,3,"NO","Dodoma",2008,NA
1020030030174,"M1",28,46,1.41639974784,NA,NA,"Loam","Average","NO","NO","NO","Slightly sloped","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,846666.666666666,380.555555555555,456666.666666666,1200,2224.81751824818,53.9370078740157,2,FALSE,FALSE,"NO","YES","TRADITIONAL","Male",34,7,10062000,0,5,"NO","Dodoma",2008,NA
1020030030174,"M2",0,14,0.40468564224,NA,NA,"Loam","Good","NO","YES","NO","Slightly sloped","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,274000,380.555555555555,274000,720,720,100,1,FALSE,FALSE,"YES","NO","TRADITIONAL","Male",34,7,10062000,0,5,"NO","Dodoma",2008,NA
1020030030174,"M3",23,14,1.61874256896,NA,NA,"Loam","Average","NO","YES","NO","Slightly sloped","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,913333.333333332,380.555555555555,913333.333333332,2400,2400,100,1,FALSE,FALSE,"YES","NO","TRADITIONAL","Male",34,7,10062000,0,5,"NO","Dodoma",2008,NA
1020030030174,"M4",0,18,0.40468564224,NA,NA,"Loam","Average","NO","YES","NO","Slightly sloped","Rented in",NA,"YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",34,7,10062000,0,5,"NO","Dodoma",2008,NA
