"y2_hhid","plotnum","hir.lab.days","fam.lab.days","area.est","area.gps","plot.dist","main.crop","soil","soilq","eroscont","erosion","slope","irrigation","ownership","land.title","cultivate","org.fert","org.fert.kg","org.fert.price","pest","pest.type","pest.price","pest.kg","nitrogen.kg","phosphorous.kg","potassium.kg","voucher","plot.value","maize.price","maize.value","output.kg.old","output.kg.new","maize.share","crop.count","beans","cash.crop","total.plot","inter.crop","seed.type","soh","aoh","schl","hh.size","own.sh","rent.sh","plots","plot.missing","region","year"
101014002017101,"M1",0,87,0.60702846336,0.647497594356537,2.2,14,"Loam","Average","NO","NO","Slightly sloped","NO","Rented in",NA,"YES","YES",200,0,"NO",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",70,NA,5,36000,0,2,"NO","Dodoma",2010
101014002017101,"M2",0,58,0.20234282112,0.0809371992945671,1,12,"Clay","Good","NO","NO","Flat bottom","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",70,NA,5,36000,0,2,"NO","Dodoma",2010
101014002028401,"M1",0,32,0.60702846336,0.485623210668564,3.8,11,"Loam","Good","NO","NO","Flat bottom","NO","Used free of charge",NA,"YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,143401.875901876,383.928571428571,84464.2857142856,220,373.511862814189,58.9004050212573,2,FALSE,FALSE,"NO","YES","None purchased","Male",38,1982,4,12000,0,1,"NO","Dodoma",2010
101014002029701,"M1",12,24,0.80937128448,0.853887438774109,3.3,11,"Loam","Average","NO","NO","Flat bottom","NO","Used free of charge",NA,"YES","YES",100,10000,"NO",NA,0,0,0,0,0,NA,287946.428571428,383.928571428571,287946.428571428,750,750,100,1,FALSE,FALSE,"YES","NO","None purchased","Male",52,1976,10,32000,120000,2,"NO","Dodoma",2010
101014002029701,"M2",0,35,0.80937128448,1.00766813755035,2.2,11,"Sandy","Bad","NO","NO","Flat bottom","NO","Rented in",NA,"YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,76785.7142857142,383.928571428571,76785.7142857142,200,200,100,1,FALSE,FALSE,"YES","NO","None purchased","Male",52,1976,10,32000,120000,2,"NO","Dodoma",2010
101014002040901,"M1",39,76,1.0117141056,0.817465722560883,2.2,14,"Sandy","Average","NO","YES","Flat bottom","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",32,NA,6,18000,2500,2,"NO","Dodoma",2010
101014002040901,"M2",21,53,0.80937128448,0.681410312652588,NA,41,"Loam","Good","NO","NO","Flat bottom","NO","Rented in",NA,"YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,289002.164502164,383.928571428571,41464.2857142857,108,752.749823819592,14.3473962507209,2,FALSE,FALSE,"NO","YES","None purchased","Male",32,NA,6,18000,2500,2,"NO","Dodoma",2010
101014002047101,"M1",0,134,0.80937128448,0.768903374671936,1.5,14,"Loam","Average","YES","YES","Flat bottom","NO","Owned","YES","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",52,NA,5,6000,0,1,"NO","Dodoma",2010
101014002055101,"M1",17,46,0.80937128448,0.809372007846832,0.1,14,"Sandy","Average","NO","NO","Slightly sloped","NO","Owned","NO","YES","YES",1200,0,"NO",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",32,NA,5,8000,0,2,"NO","Dodoma",2010
101014002055101,"M2",5,44,0.80937128448,0.894356071949005,0.8,41,"Loam","Good","NO","NO","Slightly sloped","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",32,NA,5,8000,0,2,"NO","Dodoma",2010
